id,lingkar dada,lebar dada,dalam dada,panjang badan,tinggi pundak,tinggi pinggul,lebar pinggul,berat badan
320,41.83,11.00,16.57,37.33,37.53,40.23,11.73,6.72
321,25.73,6.80,10.40,21.50,24.33,25.20,8.57,1.94
322,23.57,5.43,8.93,20.90,22.13,24.03,6.60,1.58
323,35.60,8.40,13.10,29.90,33.30,34.10,9.63,4.10
324,48.63,9.63,15.87,38.70,44.17,45.77,13.07,8.47
325,49.57,10.60,15.80,39.37,42.17,44.60,6.77,9.55
326,50.73,15.50,12.10,34.10,37.50,42.10,7.80,8.97
327,52.83,15.53,18.70,47.73,45.43,48.03,12.43,12.49
328,41.40,9.47,17.70,35.40,34.93,35.17,9.20,6.74
329,43.13,11.20,18.80,37.17,34.53,37.30,8.50,7.05
330,52.30,15.17,21.20,41.03,40.20,42.20,12.07,10.20
331,49.40,11.53,14.40,36.33,32.60,38.43,10.57,9.69
332,49.53,10.90,16.70,39.23,35.60,38.87,10.43,10.39
333,42.60,10.23,16.47,19.30,40.83,41.27,7.77,7.50
334,39.67,8.40,14.53,35.37,37.70,41.30,11.53,6.27
335,46.73,11.40,18.17,36.70,37.90,40.83,11.13,8.27
336,52.83,11.90,20.90,42.60,39.40,43.43,14.33,13.60
337,49.43,11.20,20.13,43.33,44.60,50.20,13.57,11.53
338,50.23,13.30,20.33,44.20,43.23,48.20,12.33,11.87
339,47.33,11.40,19.53,42.23,41.53,44.53,12.00,10.46
340,47.57,9.50,19.03,40.07,38.10,40.93,13.97,9.86
341,49.43,10.93,17.83,41.50,41.40,42.57,12.33,12.40
342,41.73,11.37,18.40,42.33,40.53,40.93,11.50,7.47
343,46.83,10.40,19.17,43.77,39.23,41.53,12.33,10.21
344,49.33,11.50,20.20,46.53,42.00,45.10,8.23,10.90
345,54.97,12.47,19.00,41.03,41.93,41.97,11.50,11.90
346,64.57,14.43,21.27,44.17,41.80,46.93,12.40,17.92
347,56.07,14.67,18.13,45.70,41.00,42.53,11.57,13.83
348,49.23,11.90,17.40,41.50,41.20,44.17,9.43,10.53
349,45.17,12.40,20.03,45.07,45.03,47.27,8.00,9.69
350,44.93,10.93,20.23,40.30,40.23,43.57,13.33,8.17
351,50.17,10.77,19.03,44.57,43.33,45.40,11.53,10.61
352,58.73,13.37,23.20,41.10,47.33,52.00,12.93,17.06
353,61.67,12.27,23.03,41.60,44.57,49.27,12.83,17.15
354,57.77,10.23,23.07,44.27,43.57,48.20,12.60,17.49
355,60.40,11.90,22.07,46.20,46.87,53.23,11.70,16.46
356,49.10,11.40,20.10,39.00,44.67,45.53,12.50,11.61
357,61.23,12.90,25.70,47.43,47.60,50.10,13.93,20.28
358,61.67,15.23,23.83,47.67,51.97,54.30,13.23,21.72
359,49.83,11.63,18.70,38.57,36.07,37.20,13.90,10.78
360,52.70,11.47,19.67,47.17,47.30,51.73,14.70,15.75
361,61.13,15.07,24.93,44.73,46.63,49.10,17.33,19.61
362,59.73,13.60,22.73,45.47,44.80,48.40,15.40,17.95
